"file_name","caption_predicted"
"002ho18_.wav","A machine is running and a beeping sound is audible."
"00lxphyq.wav","People are talking as they work in a factory."
"005d_q4o.wav","A group of people are talking in the background."
"00xjom5h.wav","A synthesizer is playing different notes in a systematic way."
"0064l0wn.wav","It is raining and thunder is rumbling in the background."
"0106ej2t.wav","A train is coming to a stop on the tracks."
"00jbxv4k.wav","Buzzing of an insect with birds chirping in the background."
"015t5izr.wav","Someone opening a package and sniffling before opening it and burping."
"015tu2cn.wav","A person talking with a humming noise in the background."
"01r10j2a.wav","Birds are cawing and people are talking in the background."
"01ay4ee5.wav","A man is speaking to a group of people."
"01tzk4su.wav","A group of people are talking in the background."
"01kz3p5r.wav","A machine is running while people are talking in the background."
"02n7aazo.wav","A group of people are talking in the background."
"01o6uec9.wav","A piece of chalk is being written on the blackboard."
"02p1j1o8.wav","A heavy rain coming down outside with thunder in the background."
"02yxe_qk.wav","It is raining and the wind is blowing."
"04136a64.wav","Water is running from a faucet into a sink."
"03amxux6.wav","People are talking as they work in a factory."
"043e0xi5.wav","People are talking in the background as cars drive by."
"03p7n4_f.wav","People are talking in the background as someone opens a door."
"04g1cuwu.wav","A group of people are talking in the background."
"03uxd3x3.wav","People are talking in the background as a clock ticks."
"04wkxbo9.wav","Leaves rustle in the wind as the wind blows."
"04x4n9nu.wav","An airplane flies overhead, getting closer and then flying away."
"05frt6xv.wav","A train is passing by on the tracks."
"04xd3s1p.wav","The steady ticking of the hands of a clock."
"05ii52qo.wav","A door creaks as it is opened and closed several times."
"04xvjgpb.wav","People are talking in the background as they open and close containers."
"05rvb_17.wav","People are talking as they work in a factory."
"05dghchu.wav","A heavy rain coming down outside with thunder in the background."
"05xuxmge.wav","A group of people are talking and moving about."
"05yjpfr4.wav","Someone is chopping wood while birds are chirping in the background."
"06re2u34.wav","People are talking in the background while utensils are scraping against dishes."
"064mzgmz.wav","People are talking as they work in a factory."
"06zrw6hs.wav","Metal objects clang together over and over again."
"06i2nbs_.wav","A machine is running at a constant speed and a person is talking in the background."
"07025xu_.wav","Metal chimes clang together over and over again."
"06oobo0q.wav","People are talking in the background as a car drives by."
"071g17te.wav","People talk in the background as dishes and silverware clink together."
"077flz4v.wav","A group of people are talking in the background."
"07r0_wn4.wav","A hard object is striking another hard object in a rhythmic way."
"078yftvl.wav","A machine is running while people are talking in the background."
"07r9g4aa.wav","People are talking as they work in a factory."
